id,name,country,country_code,abbreviation,gender,pro_year,handedness,highest_singles_ranking,highest_doubles_ranking,weight,height,date_of_birth,highest_singles_ranking_date,highest_doubles_ranking_date,Clothing,Shoes,Racket,Sleeve/Shirt/Cap
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL,male,2012.0,right,61.0,129.0,78.0,191.0,1996-10-26,1.2023,10.2022,,,,
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL,male,2014.0,right,111.0,110.0,76.0,185.0,1996-10-09,6.2022,8.2022,,,,
sr:competitor:45258,"de Loore, Joris",Belgium,BEL,DE,male,2011.0,right,142.0,263.0,86.0,191.0,1993-04-21,11.2023,12.2018,,,,
sr:competitor:619900,"Gigante, Matteo",Italy,ITA,GIG,male,,,132.0,334.0,,,2002-01-04,6.2024,2.2023,,,,
sr:competitor:450477,"Nardi, Luca",Italy,ITA,NAR,male,,right,70.0,299.0,,,2003-08-06,5.2024,4.2023,,,,
sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU,male,2011.0,right,23.0,117.0,68.0,175.0,1992-05-20,7.2018,8.2018,,,,
sr:competitor:15789,"Cuevas, Pablo",Uruguay,URY,CUE,male,2004.0,right,19.0,14.0,80.0,180.0,1986-01-01,8.2016,4.2009,,,,
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER,male,2010.0,right,36.0,2.0,75.0,188.0,1991-03-18,2.2019,7.2016,,,,
sr:competitor:371448,"Llamas Ruiz, Pablo",Spain,ESP,LLA,male,,right,131.0,,,,2002-10-13,10.2023,,,,,
sr:competitor:25838,"Goffin, David",Belgium,BEL,GOF,male,2009.0,right,7.0,158.0,70.0,180.0,1990-12-07,11.2017,7.2019,,,,
sr:competitor:111837,"Harris, Billy",Great Britain,GBR,HAR,male,,right,101.0,265.0,,,1995-01-25,9.2024,2.2024,,,,
sr:competitor:284805,"Nava, Emilio",USA,USA,NAV,male,,right,124.0,187.0,,,2001-12-02,4.2024,10.2024,,,,
sr:competitor:276563,"Virtanen, Otto",Finland,FIN,VIR,male,,right,91.0,243.0,,,2001-06-21,11.2024,6.2023,,,,
sr:competitor:163996,"Wu, Tung-Lin",Chinese Taipei,TPE,TUN,male,,right,158.0,246.0,75.0,188.0,1998-05-12,4.2023,10.2022,,,,
sr:competitor:56017,"Ritschard, Alexander",Switzerland,CHE,RIT,male,,right,99.0,388.0,,,1994-03-24,9.2024,4.2022,,,,
sr:competitor:256875,"Tirante, Thiago Agustin",Argentina,ARG,TIR,male,,right,90.0,257.0,,,2001-04-10,4.2024,11.2021,,,,
sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI,male,,left,203.0,143.0,62.0,163.0,1999-06-09,7.2023,6.2023,,,,
sr:competitor:57021,"Kovalik, Jozef",Slovakia,SVK,KOV,male,2010.0,right,80.0,245.0,82.0,183.0,1992-11-04,10.2018,4.2018,Hydrogen*,Mizuno,Prince,
sr:competitor:16192,"Marchenko, Illya",Ukraine,UKR,MAR,male,2005.0,right,49.0,268.0,78.0,185.0,1987-09-08,9.2016,8.2014,,,,
sr:competitor:22218,"Paire, Benoit",France,FRA,PAI,male,2007.0,right,18.0,65.0,80.0,196.0,1989-05-08,1.2016,11.2021,Lacoste ? Celio,Babolat,Babolat,
sr:competitor:91240,"Peniston, Ryan",Great Britain,GBR,PEN,male,,left,123.0,384.0,,,1995-11-10,7.2022,6.2022,,,,
sr:competitor:38183,"Bagnis, Facundo",Argentina,ARG,BAG,male,2008.0,left,55.0,78.0,82.0,183.0,1990-02-27,11.2016,9.2013,Joma,Joma,Babolat,
sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG,CER,male,,left,79.0,376.0,,,2001-11-15,1.2022,2.202,Fila,Fila,Head,
sr:competitor:54733,"Bonadio, Riccardo",Italy,ITA,BON,male,,right,164.0,278.0,81.0,180.0,1993-07-13,5.2023,3.2022,,,,
sr:competitor:42152,"Napolitano, Stefano",Italy,ITA,NAP,male,2012.0,right,121.0,182.0,90.0,196.0,1995-04-11,6.2024,4.2017,,,,
sr:competitor:213170,"Blanchet, Ugo",France,FRA,BLA,male,,,139.0,354.0,,,1999-01-05,9.2024,10.2024,,,,
